mouse,day,layer23_x,layer56_x
mhb99,210128,406,454
mhb99,210129,374,427
mhb99,210130,347,406
mhb99,210131,312,388
mhb99,210201,373,432
mhb99,210202,345,387
mhb99,210203,361,432
mhb99,210204,343,454
mhb99,210205,360,428
mhb99,210206,331,364
mhb99,210208,376,436
mhb99,210209,390,426
mhb99,210210,409,422
mhb99,210211,362,416
mhb100,210301,360,381
mhb100,210302,355,380
mhb100,210303,361,369
mhb100,210304,419,472
mhb100,210305,346,357
mhb100,210306,375,382
mhb100,210307,322,384
mhb100,210308,283,339
mhb100,210309,378,421
mhb100,210310,382,415
mhb100,210311,359,422
mhb100,210312,394,419
mhb100,210313,356,419
mhb100,210314,417,452
mhb100,210315,366,415
mhb100,210316,257,268
mhb100,210317,252,310
mhb108,210505,390,434
mhb108,210506,423,432
mhb108,210508,374,383
mhb108,210509,375,455
mhb108,210510,377,388
mhb108,210511,384,398
mhb108,210512,293,330
mhb108,210513,495,523
mhb108,210514,205,270
mhb108,210515,250,290
mhb108,210516,231,250
mhb108,210517,230,260
mhb108,210518,240,250
mhb108,210519,266,316
mhb108,210520,240,270
mhb108,210521,276,290
mhb124,221017,433,500
mhb124,221018,438,500
mhb124,221019,425,450
mhb124,221020,428,500
mhb124,221021,455,504
mhb124,221028,457,504
mhb124,221029,382,411
mhb124,221030,461,512
mhb124,221031,361,397
mhb124,221102,407,462
